https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsh8wTkSQhUaGEE7Sk44_gCRKM0pd_uTIJzw&s,Tên Thuốc Tây,Hoạt Chất,URL Ảnh Hiện Tại,URL Ảnh Mới (Điền vào đây)
22,Rosuvastatin,Rosuvastatin,https://duocdienvietnam.com/wp-content/uploads/filemanager/data-images//2022/8/anh_thay/rosuvastatin_stella_20mg_1.jpg,
23,Celecoxib,Celecoxib,https://tamanhhospital.vn/wp-content/uploads/2024/12/thuoc-chong-dau-giam-viem-celecoxib.jpg,
24,Glucosamine/Chondroitin,Glucosamine;Chondroitin,https://glucosamin.com.vn/storage/uploads/noidung/glucosamine-chondroitin-1500mg-220-vien-863.jpg,
25,Methotrexate,Methotrexate,https://trungtamthuoc.com/images/products/thuoc-methotrexate-25mg-mercury-pharma-2-s7304.jpg,
26,Adalimumab,Adalimumab,https://cdn.youmed.vn/tin-tuc/wp-content/uploads/2020/06/humira-adalimumab1.jpg,
27,Salmeterol/Fluticasone,Salmeterol/Fluticasone,https://cdn.mimsprd.mims.com/drug-resources/PH/packshot/Seretide6001PPS0.JPG,
28,Tiotropium,Tiotropium,https://baobaopharma.com/wp-content/uploads/2024/06/12Q-1.jpg,
29,Prednisone,Prednisone,https://benhvienthucuc.vn/wp-content/uploads/2024/05/thuoc-prednisone.jpg,
30,Acetaminophen,Acetaminophen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxQLPoZrSNIGZnkPsQB-267QCH8g6w0LsW4A&s,
31,Alprazolam,Alprazolam,https://trungtamthuoc.com/images/products/alprazolam-viatris-05mg-d1171.jpg,
32,Sertraline,Sertraline,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfSC0KIrKgoUX-QVaBs15sMHnKsDzpv5MNbw&s,
33,Escitalopram,Escitalopram,https://www.vinmec.com/static/uploads/small_20210318_095840_726699_thuoc_escitalopram_max_1800x1800_jpg_0b1af96dd0.jpg,
34,Amoxicillin-Clavulanate,Amoxicillin-Clavulanate,https://benhvienlevanthinh.vn/wp-content/uploads/2022/10/thuoc-augmentin-1g.jpg,
35,Mometasone,Mometasone Furoate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkQFbsJ5kbtghmNeWRrjuS6oQS8AR0EhWR2Q&s,
36,Ferrous Sulfate,Ferrous Sulfate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxySoYNu8IxqG7OTv1M9vU6uLooObsLmJkQg&s,
37,Tamsulosin,Tamsulosin,https://www.vinmec.com/static/uploads/medium_20210502_121720_234324_tamsulosin_thuoc_max_1800x1800_jpg_b649d1b326.jpg,
38,Amoxicillin,Amoxicillin,https://cdn.upharma.vn/unsafe/3840x0/filters:quality(90)/san-pham/10021.png,
39,Azithromycin,Azithromycin,https://medecify.com/storage/2024/12/B-B-CD-A-C-E-DBC-3000x3086.jpeg,
40,Clotrimazole,Clotrimazole,https://www.vinmec.com/static/uploads/20230107_144221_396490_Clotrimazole_max_1800x1800_png_84bb4cc5cb.png,
41,Terbinafine,Terbinafine,https://duocdienvietnam.com/wp-content/uploads/filemanager/data-images//2022/4/20/terbinafin-stella-cream-1.jpg,
42,Miconazole,Miconazole (topical),https://www.vinmec.com/static/uploads/20220311_075153_478320_thuoc_miconazole_max_1800x1800_jpg_3930913b5c.jpg,
43,Silver Sulfadiazine,Silver Sulfadiazine,https://www.vinmec.com/static/uploads/20220429_064542_235511_sulfadiazine_silver_max_1800x1800_jpg_302f3fa4b5.jpg,
44,Aloe Vera,Aloe Barbadensis Leaf Juice,https://cdn.britannica.com/73/177473-050-7B7C6918/aloe-vera-plant.jpg,
45,Chlorhexidine,Chlorhexidine Gluconate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTCZSYsy6AHQ-6XnXw67wyMG8cWFHo-MBUsQ&s,
46,Fluoride Toothpaste,Sodium Fluoride,https://i5.walmartimages.com/seo/Colgate-Cavity-Protection-Toothpaste-with-Fluoride-Minty-Great-Flavor-2-5-oz-Tube_3fd969aa-b443-4a5d-9bd9-39732bbf5d69.77b808d3dc7ef4e9247ea3b5577f5c86.jpeg,
47,Hydrogen Peroxide,Hydrogen Peroxide,https://i5.walmartimages.com/seo/Equate-3-Hydrogen-Peroxide-Liquid-USP-Antiseptic-32-fl-oz_29990181-6f9e-42e6-98a3-5389c9be63d0_1.7d6fd92f63fca430eddc487138cb605e.jpeg,
48,Orlistat,Orlistat,https://cdn.nhathuoclongchau.com.vn/v1/static/00005613_orlistat_120mg_7302_62a7_large_521161dd7c.jpg,
49,Phentermine,Phentermine,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSp3XRwD8CwQY-2PWi0XSkdb7WGBgBxREjBxg&s,
50,Acyclovir,Acyclovir (topical/oral),https://cdn.upharma.vn/unsafe/1200x0/san-pham/6623.png,
51,Docosanol,Docosanol,https://bizweb.dktcdn.net/100/407/286/products/3517f521-e6ba-4ea7-886c-ac2c8d2fd95d-a2bcaf9bacbf79f6613d5a55a756158a-jpeg.jpg?v=1681119812400,
52,Valacyclovir,Valacyclovir,https://www.vinmec.com/static/uploads/20220709_021838_450643_Valacyclovir_max_1800x1800_jpg_bb59e90886.jpg,
53,Polyethylene Glycol,Polyethylene Glycol,https://www.padagis.com/wp-content/uploads/2025/06/PEG3350.png,
54,Bisacodyl,Bisacodyl,https://www.vinmec.com/static/uploads/20210223_083439_673203_thuoc_bisacodyl_max_1800x1800_png_ee49e81c96.png,
55,Hydrocortisone,Hydrocortisone,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgiUQoFCw5xnV05MRHEkfqXV21H5lQ1gLkQg&s,
56,Cephalexin,Cephalexin,https://www.imexpharm.com/Data/Sites/1/Product/8716/Cephalexin-500mg.png,
57,Dicloxacillin,Dicloxacillin,https://cdn.mimsprd.mims.com/drug-resources/TH/packshot/Dixocillin6002PPS0.JPG,
58,Bismuth Subsalicylate,Bismuth Subsalicylate,https://www.vinmec.com/static/uploads/20200522_151521_140132_screenshot_15901604_max_1800x1800_png_1255440d3b.png,
59,Alendronate,Alendronate,https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250415102333-0-P02451_2.png?versionId=F43ejhgQ79w0SZhac.3JWMp3sAtdSWYO,
60,Calcium,Calcium Carbonate,https://product.hstatic.net/1000372707/product/calcium-corbiere_fa38899dab2d46489dab1451dd654702_grande.jpg,
61,Vitamin D,Cholecalciferol,"https://m.media-amazon.com/images/I/514qIBrZ8IL._AC_UF1000,1000_QL80_.jpg",
62,Carisoprodol,Carisoprodol,https://www.vinmec.com/static/uploads/small_20220518_081552_080696_thuoc_biromonol_max_1800x1800_jpg_3d9662c066.jpg,
63,Orphenadrine,Orphenadrine,https://sandoz-ca.cms.sandoz.com/sites/default/files/styles/large/public/2023-11/Sandoz-Orphenadrine-359.jpg?itok=7-bQbiTx,
64,Diclofenac,Diclofenac,https://www.vinmec.com/static/uploads/20220116_031308_228696_diclofenac_max_1800x1800_jpg_8632b9143a.jpg,
65,Naproxen,Naproxen,https://medlatec.vn/media/39095/content/naproxen.jpg,
66,Peginterferon alfa,Peginterferon alfa,https://nanogenpharma.com/data/upload/Pegnano.jpg,
67,Tenofovir,Tenofovir,https://www.vinmec.com/static/uploads/20220617_125127_543982_thuoc_tenofovir_300_max_1800x1800_jpg_da78b35558.jpg,
68,Entecavir,Entecavir,https://www.vinmec.com/static/uploads/20220628_064616_888062_entecavir_0_5_mg_max_1800x1800_jpg_ef80a33373.jpg,
69,Simethicone,Simethicone,https://production-cdn.pharmacity.io/digital/828x828/plain/e-com/images/ecommerce/20250715044429-0-P28579_1.jpg?versionId=_lBefSOHF5bJ4QRUi8.UEekqAYis_1rN,
70,Artificial Tears,Carboxymethylcellulose; Glycerin,https://images-na.ssl-images-amazon.com/images/I/81MTj7-7yML.jpg,
71,Cyclosporine,Cyclosporine,https://www.vinmec.com/static/uploads/20220519_084256_954251_cyclosporine_max_1800x1800_jpg_e2d1b22d2e.jpg,
72,Chlorpheniramine,Chlorpheniramine,https://suckhoe123.vn/uploads/suc-khoe/2021_05/20200216_154927_642571_chlorph999-thuoc-chon.max-800x800.png&w=800&h=800&checkress=558dc55d2b2558c24b74b84c8aa77ac7,
73,Ambroxol,Ambroxol,https://www.vinmec.com/static/uploads/20220709_235800_893335_Ambroxol_30mg_max_1800x1800_jpg_3b7a54c065.jpg,
74,Acetylcysteine,Acetylcysteine,https://cdn.medigoapp.com/product/acetylcystein_1436b27d31.jpeg,
